ID	Description
HIGH_CARD	Hit for 3 damage. [Stick]. 4 uses.
PAIR	Throw 2 cards. Hit for 2 damage each. [Stick]. 3 uses. 
FULL_HOUSE	Throw 5 cards in a cone. Hit for 1 damage each. [Stick]. 2 uses.
JOKER	Hit for 0 damage. [Stick].
HIDDEN_ACE	Hit for 10 damage, pierces through targets.
REND	[Fold]. Hit for 2 damage for each folded.
RECALL	[Fold]. Draw a card for every three folded. Draw 1 additional card.
HOMECOMING	[Fold]. [Manifest] a Fool for every two folded. 
ALL_IN	Throw 4 cards for each card in your hand, then discard your hand. Hit for 2. [Stick].
FINISHING_STROKE	Hit for 4 damage. When you discard any other card, damage increases by 3 until the end of the room. [Stick].
CALLED_SHOT	Apply 1 [Mark].
CALLBACK	Apply 6 [Comedy].
PEERLESS_FOCUS	Apply 4 [Prescience].
BLEED_OUT	Apply 10 [Bleed].
THOUSAND_CUTS	Apply 1 [Pain]. [Exhaust].
DECK_FIXING	Draw 2 extra cards whenever you draw a new hand. [Imprint]. [Exhaust].
CLOWN_CAR	[Manifest] 3 Fools whenever you draw a new hand. [Imprint]. [Exhaust].
MISSED_CONNECTION	Whenever you evade an attack [Manifest] a Fool. [Imprint]. [Exhaust].
INSIGHT	Draw 2 cards.
FOOLIN_AROUND	[Manifest] 3 Fools.
DOUBLE_DOWN	[Manifest] two copies of the next card played.
SECOND_CHANCE	Regain one heart. [Exhaust].
JACKPOT	Add 3 random rare cards to the deck. Remove this card from the deck permanently.
LUCKY_SEVENS	Add 7 random uncommon cards to the deck. Remove this card from the deck permanently.
FLUSH	Hit for 3 damage, increased by 1 for each card in your hand. Increases further if you have 5 or more of the same card. [Stick].
INNER_STRENGTH	Increase damage by 1. [Imprint]. [Exhaust].
RAISE_THE_STAKES	Increase damage dealt and taken by 1. [Imprint].
DEALERS_ADVANTAGE	Whenever you play a card, [Deal] 1. [Imprint]. [Exhaust].
TRIPLE_DEAL	When the next card is played, [Deal] 3.
LUCKY_DEAL	When the next card is played, [Deal] 7.
KINETIC_DRAW	Whenever you draw a new hand [Fold]. Hit for damage equal to the number folded. [Imprint]. [Exhaust].
DEADLY_GAMBIT	[Fold]. Hit for damage equal to twice the number folded.
CHEATER_JACK	Hit for 2 damage, increased by 5 if the target is cursed. 4 uses. [Stick].
KINGS_ORDEAL	Hit for 8 damage. [Deal] 1 for each curse stack on the target, then [Cleanse] them. [Stick].
QUEENS_MERCY	Hit for 4 damage, increased significantly based on the number of curse stacks on the target, then [Cleanse] them. [Stick].
HIGHER_CARD	Your High Cards deal one more damage and have one more use. [Imprint]. [Exhaust].
HIGHEST_CARD	Your High Cards lose all their uses and instead hit that many times. [Imprint]. [Exhaust].
JUDGEMENT	Apply 2 [Guilt]. Hit for damage equal to the target's [Guilt].
TRIAL_BY_STEEL	[Manifest] 3 Judgements.
SINNERS_GUILT	Whenever you evade an attack [Manifest] a Judgement. [Imprint]. [Exhaust].
REDEEMER	Hit for damage equal to the target's [Guilt] in a line. Targets explode dealing damage equal to twice their [Guilt]. Remove all [Guilt].
INESCAPABLE_AGONY	Whenever you apply a [Curse], apply 2 additional stacks. [Imprint]. [Exhaust].
FINAL_VERDICT	Apply 3 [Guilt]. Then increase the target's [Guilt] by 33%.
